Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
0.002000000027610355,0.0020000000222645236,0.002000000024304802,0.0020000000638862227,0.0020000000388018606,0.0020000000182891463,0.0020000000534504433,0.0020000000192116323,0.600614327175742,0.002000000027870969,0.002000000028696927,0.002000000045167408,0.002000000076153269,0.002000000075120503,0.0020000000492918853,0.002000000026893462,0.0020000000055096084,0.36338567212078327,0.002000000036851896,0.002000000064099728
0.0022727272962103063,0.0022727273159739614,0.002272727292088978,0.002272727330666577,0.002272727304319841,0.4515939245681714,0.0022727272882840342,0.002272727301257852,0.2396247858549039,0.0022727273616145334,0.19317542808229532,0.0022727273197369184,0.07924222455723133,0.0022727272944158623,0.0022727273174089533,0.002272727304665835,0.002272727299047737,0.002272727299891985,0.0022727272927173703,0.0022727273190973458
0.0013888889316532775,0.0013888889189864967,0.0013888889008892877,0.5794577625367959,0.0013888889127537916,0.0013888889272001437,0.0013888889037195324,0.001388888905158596,0.11450323813209308,0.0013888889156846067,0.28242788780392186,0.0013888889055493527,0.0013888889138811862,0.0013888889131414518,0.0013888889027373896,0.0013888889239439392,0.0013888889311892958,0.0013888889058802061,0.001388888902235644,0.00138888891258489
0.0017241379512108438,0.001724138012973705,0.001724137939491113,0.20271990890606262,0.001724137942947767,0.0017241379712656041,0.0017241379507595316,0.0017241379463233178,0.0017241379676723608,0.0017241379803601472,0.0017241379537754986,0.001724137950872658,0.7662456078954987,0.0017241379365147821,0.0017241379376090205,0.0017241379429568213,0.0017241379383704128,0.001724137952595176,0.0017241379655633998,0.0017241379571766508
0.0062500000969645435,0.006250000200888773,0.40837888699365105,0.006250000121338246,0.006250000241500044,0.006250000248146158,0.00625000007575817,0.0062500001714808325,0.00625000016581701,0.006250000094330417,0.479121110205146,0.006250000163216025,0.006250000188160958,0.006250000101035003,0.006250000132559171,0.006250000056063918,0.0062500001673356734,0.006250000193350525,0.006250000236494736,0.006250000146762797
0.0007142857332552384,0.0007142857255291981,0.0007142857298427585,0.00071428573692249,0.0007142857289754722,0.04667750829293625,0.0007142857349363992,0.0007142857277238286,0.0007142857207147473,0.0007142857360997761,0.0007142857199477563,0.3876974242622122,0.0007142857191681194,0.0007142857275182199,0.0007142857366022103,0.027090568012303105,0.000714285724836692,0.3457024834607388,0.18211773004136464,0.0007142857283719889
0.0020000000725410682,0.13804627832147487,0.0020000000425379853,0.0020000000651873087,0.002000000022623406,0.22915852422264024,0.0020000000185794154,0.0020000000690300426,0.0020000000534487047,0.0020000000385783897,0.002000000038024698,0.0020000000233205578,0.20329893577710959,0.0020000000315163672,0.0020000000170261032,0.3974962610278687,0.0020000000601032015,0.0020000000396881825,0.0020000000207302795,0.0020000000379710664
0.0010869565402875476,0.0010869565455480332,0.1045478147476153,0.07594490983704553,0.0010869565506815755,0.0010869565383194119,0.0010869565354720218,0.001086956540175896,0.0010869565475738366,0.0010869565402987765,0.0010869565409037856,0.0010869565526448403,0.10412336697155088,0.0010869565483006597,0.11996372456597647,0.0010869565372680712,0.0010869565323704462,0.46576432869288054,0.11443846358762505,0.0010869565474614388
0.23691466139330358,0.0009259259662577372,0.0009259259441707573,0.0009259259481914754,0.21268139068996567,0.0009259259429867245,0.0009259259480880744,0.0009259259538050808,0.2321598716231759,0.0009259259532235496,0.0009259259513689355,0.0009259259467445088,0.0009259259449131526,0.0009259259502598386,0.30342926110353363,0.0009259259492936169,0.0009259259425550906,0.0009259259535081053,0.0009259259459806496,0.000925925948673907
0.00022123894231715907,0.20201496592167115,0.02685747249523929,0.315194982879804,0.0002212389464235981,0.00022123894415438498,0.00022123894572342664,0.00022123894232539245,0.00022123894339897644,0.00022123894244123414,0.11937303238573556,0.00022123894209610164,0.00022123894250133635,0.00022123894347944565,0.00022123894186270446,0.00022123894397890314,0.33324096216489785,0.00022123894328242318,0.00022123894552334355,0.00022123894314383206
